full_name	created_at	pushed_at	language	private	default_branch	open_issues	description
BBE-DBE/bbe-skills	2026-05-30T20:20:38Z	2026-08-30T23:18:01Z	JavaScript	true	master	0	
BBE-DBE/oktogen-agents	2026-06-06T13:47:11Z	2026-08-28T00:12:58Z	JavaScript	true	feat/passport-registry-v0	2	
BBE-DBE/cloud-adam-eve	2026-05-17T12:19:48Z	2026-08-27T15:42:28Z	JavaScript	true	master	7	cloud.adam---eve.com — per-user kDrive cloud storage · admin/stats · PM with 5-state workflow + AI-reviewer + multi-agent roster · 19 MCP tools
BBE-DBE/bbe-server-config	2026-04-30T22:56:34Z	2026-08-26T18:39:51Z	Shell	true	master	6	Server-hardening configs, decisions, drift-baselines for the BBE-DBE agent-first server (private)
BBE-DBE/brydge-phase2	2026-05-25T10:07:20Z	2026-08-26T09:35:27Z		true	main	1	Brydge Phase 2 — Terminal-Access auf Cowork-Design + Chat + Advisory-Board
BBE-DBE/oktogen-aatp	2026-05-30T21:21:37Z	2026-08-25T19:59:15Z	TypeScript	true	master	0	
SSR-SFS/ssr-landingpage-v5	2026-07-22T11:28:32Z	2026-08-23T02:11:58Z	HTML	true	master	0	
SSR-SFS/ssr-maschine	2026-08-11T11:20:33Z	2026-08-15T16:33:01Z	HTML	true	master	0	
BBE-DBE/bbe-wa-gateway	2026-08-15T14:08:21Z	2026-08-15T15:09:00Z	JavaScript	true	main	0	WhatsApp-Anschluss des Hauses als lizenziertes OKTOGEN-Modul fuer den internen Gebrauch
SSR-SFS/ssr-angebot-engine	2026-07-22T11:27:57Z	2026-08-12T08:21:37Z	HTML	true	master	0	
SSR-SFS/ssr-projekt-studio	2026-07-22T11:28:19Z	2026-08-12T06:32:55Z	HTML	true	master	0	
BBE-DBE/ssr-ts	2026-08-11T10:09:02Z	2026-08-11T12:33:36Z	JavaScript	true	main	0	
SSR-SFS/ssr-prozesse	2026-07-22T10:59:01Z	2026-08-11T09:46:13Z	HTML	true	master	0	
BBE-DBE/taxonair	2026-04-10T10:29:13Z	2026-08-07T13:39:46Z	HTML	true	master	0	
BBE-DBE/design-value	2026-06-18T09:40:44Z	2026-08-07T13:27:31Z	Python	true	master	0	
BBE-DBE/digital-watermark	2026-06-02T14:18:37Z	2026-08-07T13:27:28Z	Python	true	main	0	Self-hosted Open-Source digitales Wasserzeichen (C2PA + Meta Seal) + Schnueffler; Asset-Schutz aktiv/inaktiv ohne Fremd-DB
BBE-DBE/port-registry	2026-05-01T08:12:41Z	2026-08-07T13:27:26Z	TypeScript	true	main	7	BPAP v1.0 source of truth — port allocation registry
BBE-DBE/hetzner-api	2026-05-01T17:46:24Z	2026-08-07T13:27:22Z		true	main	0	BBE-DBE hetzner-api — see docs/BOOTSTRAP.md
BBE-DBE/agent-feeder	2026-06-08T23:34:45Z	2026-08-07T13:27:21Z	HTML	true	master	0	
BBE-DBE/bbe-frontend	2026-05-01T00:37:31Z	2026-08-07T13:27:19Z	TypeScript	true	main	0	
BBE-DBE/oktogen-qr	2026-06-01T20:47:25Z	2026-08-07T13:27:17Z	TypeScript	true	main	1	
SSR-SFS/ssr-showcase-sdk	2026-07-22T11:28:45Z	2026-08-07T13:27:15Z	JavaScript	true	master	0	
SSR-SFS/ssr-banking	2026-07-22T11:28:04Z	2026-08-07T13:22:54Z	JavaScript	true	master	0	
BBE-DBE/parkpeak-v2	2026-07-01T20:49:34Z	2026-08-07T13:22:53Z	HTML	true	master	0	
BBE-DBE/Automotivequestionaire	2026-03-15T19:00:53Z	2026-08-07T13:21:39Z	TypeScript	true	main	0	
BBE-DBE/company-hubs	2026-06-12T14:12:56Z	2026-08-07T13:21:37Z	HTML	true	master	0	Per-company estate hubs (dbl9 style) for the BBE estate
BBE-DBE/netcup-api	2026-04-30T20:16:17Z	2026-08-07T13:21:36Z	TypeScript	true	main	0	Headless Netcup provider-adapter service for the BBE-DBE ecosystem
BBE-DBE/zz-keychain	2026-06-01T15:42:28Z	2026-08-07T13:21:34Z	HTML	true	master	1	ZZ Keychain — faithful ZABAZINGO password manager frontend, fully wired to Vaultwarden (zero-knowledge). Deploys to keychain.zabazingo.eu. Shared zz-vault.js module.
BBE-DBE/qr	2026-06-01T23:16:18Z	2026-08-07T13:21:33Z		true	main	0	
BBE-DBE/xbrain	2026-06-04T23:16:25Z	2026-08-07T13:21:31Z	JavaScript	true	master	0	KachelTabs — AI Tab Manager & Wissens-Browser (Chromium-Extension, Subscription-getriebene KI)
BBE-DBE/oktogen-chat	2026-06-06T10:01:16Z	2026-08-07T13:21:29Z	CSS	true	feat/templatize-fleet	2	OKTOGEN agent<->human chat backbone (Mattermost TE fleet template). 159=golden master.
SSR-SFS/ssr-copy-service	2026-07-22T11:28:08Z	2026-08-07T13:21:27Z	JavaScript	true	master	0	
SSR-SFS/ssr-lohn	2026-07-22T11:28:11Z	2026-08-07T13:21:21Z	Python	true	master	0	
BBE-DBE/immowert	2026-06-27T20:42:08Z	2026-08-07T13:21:19Z	HTML	true	master	0	
BBE-DBE/10BX	2026-05-14T15:06:28Z	2026-08-07T13:21:17Z	CSS	true	main	0	10BX — performance-marketing platform · 11xroas (paid ads) + 11xsocial (organic social) · Resonance Studio engine
BBE-DBE/bbe-track-analytics	2026-07-14T07:42:38Z	2026-08-07T13:21:15Z	JavaScript	true	master	0	bbe-track collector + KI Session-Analyst + full-fidelity capture (self-hosted, dependency-free)
BBE-DBE/oktogen-cms	2026-05-30T15:52:04Z	2026-07-27T22:26:53Z	JavaScript	true	main	0	White-label multi-tenant headless CMS (Directus 11) — OKTOGEN Platform. Self-contained clean-server clone unit.
BBE-DBE/preowned-zabazingo	2026-06-03T09:17:07Z	2026-07-27T17:39:08Z	JavaScript	true	main	0	PreOwned by ZABAZINGO — TikTok/IG-style fashion resale storefront (static, wired to Mercur/oktogen-market). Deploys to preowned.zabazingo.eu.
BBE-DBE/zabazingo-hub	2026-06-12T15:11:35Z	2026-07-27T17:00:10Z	HTML	true	main	0	
BBE-DBE/bitchat	2026-07-26T09:50:28Z	2026-07-26T09:51:29Z		true	main	0	bitchat — netzunabhaengiger BLE-Mesh-Betriebsfunk (Fork permissionlesstech/bitchat, Unlicense). White-label fuer SSR + weitere Betriebe. GEPARKT, PM BITCHAT-PM-0001.
SSR-SFS/ssr-neubau-angebot	2026-07-22T11:28:51Z	2026-07-22T11:28:53Z	TypeScript	true	master	0	
SSR-SFS/ssr-wiebusch-konsole	2026-07-22T11:28:27Z	2026-07-22T11:28:31Z	HTML	true	master	0	
SSR-SFS/ssr-shell	2026-07-22T11:28:23Z	2026-07-22T11:28:26Z	JavaScript	true	master	0	
SSR-SFS/ssr-partner-backend	2026-07-22T11:28:15Z	2026-07-22T11:28:18Z	HTML	true	master	0	
SSR-SFS/ssr-angebot-inbox	2026-07-22T11:28:01Z	2026-07-22T11:28:03Z	JavaScript	true	master	0	
SSR-SFS/ssr-drone-pm	2026-07-17T21:47:12Z	2026-07-19T12:48:44Z	JavaScript	true	main	0	
SSR-SFS/ssr-verwaltung	2026-07-16T22:29:35Z	2026-07-16T23:11:44Z	HTML	true	master	0	SSR Verwaltungs-Cockpit — Intent-first Beschluss- & Governance-Konsole fuer Bau & Handwerk (SSR-CI, white-label, API/MCP-offen)
BBE-DBE/global-rank	2026-06-04T11:41:28Z	2026-07-07T11:14:11Z	JavaScript	true	master	0	Global Rank — die belegte KI-Weltrangliste (Provenienz + Analyse + eigene Capability-Achse)
BBE-DBE/gp-pm	2026-06-27T06:54:53Z	2026-07-06T11:46:40Z	JavaScript	true	master	0	gp-pm — Verbraucher-Hitliste Versicherer/Banken (Code-Slug; Brands geprellt.de + TBD). EPIC pm-8451.
BBE-DBE/taxonair-hub	2026-07-03T00:40:53Z	2026-07-03T00:40:57Z	HTML	true	feat/devhub-ops-hub2	0	
BBE-DBE/bbe-track	2026-07-03T00:38:32Z	2026-07-03T00:38:34Z	JavaScript	true	master	0	
BBE-DBE/bbe-geo-cities	2026-07-03T00:38:29Z	2026-07-03T00:38:31Z	JavaScript	true	master	0	
BBE-DBE/airscope-taxonair	2026-07-03T00:38:10Z	2026-07-03T00:38:13Z	HTML	true	master	0	
BBE-DBE/LEAD-GEN-SSR	2026-06-26T17:07:59Z	2026-07-02T17:00:50Z	HTML	true	master	0	LEAD-GEN-SSR — SSR-Lead-Gen-Engine: Adresse -> amtliche NRW-Geodaten (DOP20/LoD2/ALKIS/BORIS) -> Bodenwert/Foerderung -> Lead. Powers sanieren-mit-system.de
BBE-DBE/parkpeak	2026-07-01T20:49:46Z	2026-07-01T20:49:51Z	HTML	true	master	0	
BBE-DBE/luescher-color-test	2026-06-27T06:45:06Z	2026-06-27T08:01:10Z	JavaScript	true	master	0	
BBE-DBE/MaxxiPower	2026-03-19T08:14:22Z	2026-06-26T10:07:25Z	HTML	true	main	0	
BBE-DBE/devhub	2026-06-08T08:52:18Z	2026-06-26T08:58:23Z	HTML	true	main	0	
BBE-DBE/Health-Magazine-1000	2026-06-15T07:45:19Z	2026-06-26T04:40:53Z	HTML	true	master	0	HM1000 — 1000 Health-Magazine als agentengebautes SEO/GEO-Authority-Netz. #001 Pulsbreite (Cryoletics).
BBE-DBE/graydion	2026-06-16T10:55:49Z	2026-06-25T18:01:51Z	Python	true	main	1	GRAYDION — Freemium-Bonitaetsanalyse (PSD2/Upload): 21-Merkmale-Ampel + Bankready-Score, Detail hinter Stripe-Paywall. MVP.
BBE-DBE/sms	2026-06-25T09:08:31Z	2026-06-25T09:08:33Z		true	master	0	SMS — Sanieren mit System: Hersteller der Wandmodule fuer serielle Sanierung (Schwester: SSR)
BBE-DBE/base-stack	2026-06-23T18:16:31Z	2026-06-23T18:42:21Z	Shell	true	master	0	BBE base-stack: de-branded Mattermost TE + Chatwoot CE, one-command bootstrap
BBE-DBE/fassaden-iq	2026-06-21T05:44:42Z	2026-06-21T08:45:08Z	HTML	true	main	0	
BBE-DBE/zaba-zingo	2026-04-02T20:04:35Z	2026-06-21T07:25:16Z	HTML	true	master	0	
BBE-DBE/owl-router	2026-05-31T19:49:22Z	2026-06-20T12:45:06Z	JavaScript	true	main	0	OWL — Open-Weight-LLM Router: freie Modelle (DeepSeek/Qwen/Llama/gpt-oss) ueber Claude Code via Hybrid claude-code-router
BBE-DBE/bbe-web-harvester	2026-06-19T06:27:48Z	2026-06-19T09:34:11Z	Python	true	master	0	BBE Web Harvester — Websites -> bbe.harvest.v1 -> SQLite Wissens-DB + regelbasierte Bewertung. MV3 Chrome-Extension + harvester.py Server-CLI (stdlib).
BBE-DBE/infra-postgres	2026-04-30T18:41:56Z	2026-06-19T09:30:27Z	Shell	true	main	1	Central Postgres for the BBE-DBE ecosystem (pinned, backed up, schema-isolated)
BBE-DBE/ai-connect	2026-06-19T07:24:13Z	2026-06-19T08:17:25Z	HTML	true	master	0	ai-connect — branded ai-value landing wrapping the live shell (Agent University eval front)
BBE-DBE/offset-site	2026-06-02T09:32:37Z	2026-06-17T16:56:04Z	HTML	true	main	0	off---set.com apex site + single deterministic OKTOGEN build pipeline
BBE-DBE/dbl9-hub	2026-06-12T10:29:38Z	2026-06-14T17:46:22Z	HTML	true	main	0	
BBE-DBE/ideas-hub	2026-06-14T15:01:37Z	2026-06-14T17:24:19Z	HTML	true	main	0	Display surface for BBE ideas captured in the PM (machine-readable bbe.idea.v1, bestbrands-hub CI).
BBE-DBE/bestbrands-hub	2026-06-12T12:34:13Z	2026-06-14T10:44:36Z	HTML	true	main	0	Central Estate hub for hub.bestbrandseverywhere.com (verified-live surfaces + full domain list)
BBE-DBE/shopify-connect	2026-06-09T08:22:12Z	2026-06-09T13:51:56Z	HTML	true	master	0	
BBE-DBE/imgmf	2026-05-31T13:26:19Z	2026-06-08T22:54:04Z	HTML	true	main	0	anno.js — visueller Review-/Annotations-/Capture-Layer + KI-Workflow-Zentrale (IMGMF)
BBE-DBE/bbe-voice	2026-05-30T17:40:11Z	2026-06-08T04:26:00Z	TypeScript	true	feat/bbe-voice-p0	6	Multi-tenant white-label voice gateway (TTS/STT), swappable engine provider-adapters — PYKA/OKTOGEN voice core
BBE-DBE/design-stack	2026-06-07T19:41:17Z	2026-06-07T21:06:38Z	Shell	true	feat/design-stack-foundation	0	White-label self-hosted design-tool foundation (Penpot+Excalidraw+draw.io) — one blueprint, dedicated server per tenant
BBE-DBE/verified-purchase	2026-06-06T14:42:36Z	2026-06-06T14:42:38Z		true	master	0	
BBE-DBE/signit-admin-demo	2026-06-04T21:35:41Z	2026-06-06T14:21:25Z	JavaScript	true	master	0	
BBE-DBE/server-bootstrap	2026-04-30T23:01:21Z	2026-06-05T21:28:31Z	Shell	true	main	0	Tier-aware Debian-13 server provisioning (public half: modules 00-70)
BBE-DBE/emergency	2026-06-05T14:42:32Z	2026-06-05T14:42:35Z	Shell	true	master	0	
BBE-DBE/geo-obs	2026-06-04T23:20:58Z	2026-06-04T23:28:44Z	TypeScript	true	main	0	
BBE-DBE/auth00-agent	2026-06-04T19:46:26Z	2026-06-04T20:42:15Z	TypeScript	true	master	0	auth00-agent — agent-native Login & Telemetrie. Tochter von bbe-auth (auth00). Agenten loggen sich selbst ein + Daten von allem.
BBE-DBE/zz-logo-db	2026-06-04T07:44:28Z	2026-06-04T07:44:36Z	JavaScript	true	master	0	ZZ Logo-DB — freie Logo-Datenbank (clean Assets) Modul. Code-only backup; cache/ und data.db ausgeschlossen.
BBE-DBE/signup-guard	2026-06-03T21:07:21Z	2026-06-03T21:07:24Z	JavaScript	true	master	0	
BBE-DBE/offset-studio	2026-06-02T12:13:22Z	2026-06-02T21:13:34Z	HTML	true	main	0	Internal collaboration cockpit for demo.off---set.com (off---set CI)
BBE-DBE/upcloud-api	2026-06-02T18:35:32Z	2026-06-02T18:38:17Z	TypeScript	true	main	0	Headless UpCloud provider-adapter (BBE-DBE) — GPU servers + Partner-API reselling. Mirrors hetzner-api foundations. Ships mock-mode (v0.1.0).
BBE-DBE/pm-presentation	2026-05-31T22:42:57Z	2026-05-31T22:43:00Z	HTML	true	main	0	PM-System Vorstellungsseite (claude-style) — Multi-Agent-Betriebssystem. Serviert :5622.
BBE-DBE/apex	2026-05-31T07:20:53Z	2026-05-31T22:34:36Z	Python	true	master	0	APEX — Intelligence/Asset-Valuation Layer (Knowledge Graph, headless API-first)
BBE-DBE/oktogen-market	2026-05-31T22:04:41Z	2026-05-31T22:21:55Z		true	main	1	OKTOGEN Marketplace (AI Agentic Agents) — cloud-asset monetization. Hybrid-at-module-level: Mercur engine behind a thin CommercePort + 5 OKTOGEN modules.
BBE-DBE/oktogen-vault	2026-05-31T14:25:27Z	2026-05-31T14:59:31Z	HTML	true	main	1	OKTOGEN Vault — white-label multi-tenant Vaultwarden ops tree (scripts, compose, caddy, docs, api, ZZ app templates). NO secrets, NO data.
BBE-DBE/LaunchPad	2026-03-19T21:08:50Z	2026-05-31T11:10:05Z	TypeScript	true	master	0	
BBE-DBE/zabazingo-domains	2026-05-30T17:38:03Z	2026-05-30T18:03:44Z		true	master	0	
BBE-DBE/pyka	2026-05-30T14:36:50Z	2026-05-30T17:26:23Z	JavaScript	true	master	1	
BBE-DBE/gotteswasser	2026-05-30T10:14:44Z	2026-05-30T16:56:06Z	HTML	true	master	0	
BBE-DBE/litecard	2026-05-29T19:13:54Z	2026-05-29T21:00:46Z	TypeScript	true	master	0	
BBE-DBE/liteprofil	2026-05-27T12:07:03Z	2026-05-27T20:08:20Z	TypeScript	true	main	0	Digital business card platform — liteprofil.de (host: Hetzner lite-profil-server)
BBE-DBE/sentinel	2026-05-25T06:02:22Z	2026-05-25T21:08:05Z	JavaScript	true	main	0	Sentinel — Autonomous, learning, auditable AI agent orchestrator. 5-layer architecture. ISO/IEC 42001-conformant. AGPL-3.0.
BBE-DBE/notes-hub-v2	2026-05-25T20:26:27Z	2026-05-25T20:28:26Z	HTML	true	main	0	Notes-Hub V2 — Notion+Obsidian-Hybrid fuer Adam-Eve + Zabazingo
BBE-DBE/viral-workspace	2026-05-25T14:01:58Z	2026-05-25T20:22:47Z	TypeScript	true	main	0	Viral cloud-storage growth feature (Adam-Eve + Zabazingo). K-Factor >= 1.2 in 90d. Consumes Question-Engine for onboarding + persona-routing.
BBE-DBE/nutrio	2026-05-25T07:51:07Z	2026-05-25T18:51:36Z	TypeScript	true	main	0	NUTRIO — Central Engine fuer Ernaehrungs- & Habit-Coaching (Multi-Brand: ZZ + Adam-Eve). Anti-Mainstream-RAG, Brand-Blacklist mit Community-Voting.
BBE-DBE/question-engine	2026-05-25T14:01:55Z	2026-05-25T18:39:57Z	TypeScript	true	main	0	Brand-agnostic Advisory-Board Question-Engine (MAOF). Multi-tenant, DSGVO, A/B-tests. Hono + Postgres + Redis + GrowthBook + PostHog. Foundation for NUTRIO, viral-workspace, eSIM, Cryoletics.
BBE-DBE/bkw-platform	2026-05-17T09:20:15Z	2026-05-17T21:03:28Z	HTML	true	master	0	BKW Platform — state-of-the-art comparison engine. Agent-first, API-first, plugin-based, white-label.
BBE-DBE/saas-cost-wallet	2026-05-16T17:34:04Z	2026-05-16T17:34:07Z	HTML	true	master	0	SaaS Cost Analyse Wallet — Cost-Tracking + Finance-Dashboard modules (5 views)
BBE-DBE/launchpad-modules	2026-05-16T17:33:10Z	2026-05-16T17:33:12Z	HTML	true	master	0	LaunchPad Modules — reusable headless static modules (CI, dashboards, status, costs, pipeline, web analyzer)
BBE-DBE/zabazingo-platform	2026-05-14T14:52:49Z	2026-05-14T15:40:51Z	JavaScript	true	main	0	ZABAZINGO complete platform mono-repo — brand landings, hubs, transfer service, concepts. Closed system on Infomaniak kDrive.
BBE-DBE/resonance-sector	2026-05-13T17:42:12Z	2026-05-13T17:42:15Z	CSS	true	main	0	Resonance Lab — Creative Performance Sector (Internal). Kompaktere Variante der Resonance Lab Engine.
BBE-DBE/resonance-lab	2026-05-13T17:16:08Z	2026-05-13T17:26:18Z	JavaScript	true	main	0	Resonance Lab — Creative Performance OS. Internal asset-analysis tool with intent-aware cognitive simulation.
BBE-DBE/zabazingo-website	2026-05-12T20:09:30Z	2026-05-12T20:13:58Z	HTML	true	master	0	ZABA & ZINGO — don't believe everything. Scroll-Cinematic Brand-Site. v7 + 9 idee-Varianten + cinematic-1.
BBE-DBE/off---set-ideas	2026-05-12T12:18:10Z	2026-05-12T12:18:15Z	HTML	true	main	0	off---set IDeas — HTML-Prototypen + Brand-Video fuer off---set (CIPHER_CLONE, agen-os v3-v8, sphere-16agents, swipe-confirm)
BBE-DBE/off---set	2026-05-12T12:17:23Z	2026-05-12T12:17:54Z	HTML	true	master	0	off---set — Operator, not Marketer. Brand site for C-Level acquisition in Automotive/Mobility/Luxury. MAOF v4.1 framework.
BBE-DBE/api-standards	2026-04-30T19:09:59Z	2026-05-10T17:38:05Z	Python	false	main	0	Cross-service standards for the BBE-DBE ecosystem
BBE-DBE/bbe-fork-control-plane	2026-05-03T08:29:46Z	2026-05-03T16:17:36Z	HTML	false	main	0	Fork-control plane dashboard for the BBE-DBE multi-agent system. Five sign.it 1.0 modules.
BBE-DBE/bbe-security-scanner	2026-05-02T22:20:20Z	2026-05-03T15:18:03Z	Shell	false	main	0	
BBE-DBE/bbe-secrets-vault	2026-05-02T23:06:13Z	2026-05-03T15:18:01Z	Shell	false	main	0	Tiny age-encrypted secret store for local agents. CLI: init/set/get/list/rotate/audit. Append-only audit log, per-tenant vaults.
BBE-DBE/bbe-worktree-toolkit	2026-05-02T20:14:55Z	2026-05-02T22:24:25Z	Shell	false	main	0	
BBE-DBE/bbe-sprint-machine	2026-05-02T21:28:44Z	2026-05-02T21:28:47Z	Shell	false	main	0	
BBE-DBE/ip-pool-api	2026-04-30T18:06:34Z	2026-05-02T16:48:06Z	TypeScript	true	main	0	Headless, agent-first IP-pool service (BBE-DBE ecosystem)
BBE-DBE/11x	2026-04-28T08:31:10Z	2026-04-30T12:19:02Z		true	main	1	
BBE-DBE/signtrust	2026-04-13T12:12:07Z	2026-04-13T17:31:37Z	TypeScript	true	master	0	Headless, API-first, agent-ready Digital Signature & Verification Core
BBE-DBE/canva-adam-eve	2026-04-09T17:09:13Z	2026-04-09T21:00:59Z	JavaScript	true	master	0	
BBE-DBE/earth-moon	2026-04-08T15:55:26Z	2026-04-08T19:08:09Z	JavaScript	true	master	0	
BBE-DBE/zaba-zingo-yt	2026-04-04T13:45:53Z	2026-04-04T13:45:55Z	JavaScript	true	master	0	YouTube Music Channel Analyzer & Auto-Publisher — ZABA & ZINGO Brand Network
BBE-DBE/commerce-supremacy	2026-03-23T12:34:31Z	2026-04-04T00:08:59Z	Python	true	feature/bootstrap-build-os	0	
BBE-DBE/Multiagentensysteme	2026-02-27T11:21:21Z	2026-04-02T19:52:55Z	TypeScript	true	master	0	Multi-Agent Operating Framework (MaOF) – KI-Agenten-System fuer skalierbare Digital-Rollouts
BBE-DBE/agentpedia-wiki	2026-03-26T23:35:15Z	2026-04-01T09:40:21Z	Astro	true	master	0	AgentPedia.wiki — The Open Encyclopedia of AI Agents
BBE-DBE/ia-trainingbox-project	2026-03-26T23:40:13Z	2026-03-27T22:09:01Z	HTML	true	main	0	
BBE-DBE/DropSet	2026-03-26T22:47:23Z	2026-03-27T14:44:27Z	HTML	true	master	0	
BBE-DBE/AATP-OS	2026-03-26T23:45:12Z	2026-03-27T08:49:14Z	JavaScript	true	master	0	AATP-OS — Agent Zero Protocol. Trust infrastructure for autonomous agent organizations. 30+ modules, full ecosystem.
BBE-DBE/CAWF	2026-02-28T08:27:29Z	2026-03-26T23:52:02Z	TypeScript	true	master	0	
BBE-DBE/Neuraisphere	2026-02-23T11:58:57Z	2026-03-26T23:49:18Z	TypeScript	true	main	0	
BBE-DBE/automotive-onboarding-platform	2026-03-15T17:43:43Z	2026-03-15T18:51:52Z	TypeScript	true	main	0	Automotive Onboarding Platform fuer OEMs und Zulieferer – React, Tailwind, shadcn/ui, Auth0, Clerk, Multi-Language (7 Sprachen), Admin-Dashboard, AI-Chat
BBE-DBE/kuberg-clone	2026-03-11T23:16:35Z	2026-03-12T18:56:20Z	TypeScript	true	master	0	Pilot Website Electric Bikes
